action_label,head_x,head_y,head_z,neck_x,neck_y,neck_z,torso_x,torso_y,torso_z,waist_x,waist_y,waist_z,left_collar_x,left_collar_y,left_collar_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,left_hand_x,left_hand_y,left_hand_z,right_collar_x,right_collar_y,right_collar_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_hand_x,right_hand_y,right_hand_z,left_hip_x,left_hip_y,left_hip_z,left_knee_x,left_knee_y,left_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_hip_x,right_hip_y,right_hip_z,right_knee_x,right_knee_y,right_knee_z,right_ankle_x,right_ankle_y,right_ankle_z,head_diff_x,head_diff_y,head_diff_z,neck_diff_x,neck_diff_y,neck_diff_z,torso_diff_x,torso_diff_y,torso_diff_z,waist_diff_x,waist_diff_y,waist_diff_z,left_collar_diff_x,left_collar_diff_y,left_collar_diff_z,left_shoulder_diff_x,left_shoulder_diff_y,left_shoulder_diff_z,left_elbow_diff_x,left_elbow_diff_y,left_elbow_diff_z,left_wrist_diff_x,left_wrist_diff_y,left_wrist_diff_z,left_hand_diff_x,left_hand_diff_y,left_hand_diff_z,right_collar_diff_x,right_collar_diff_y,right_collar_diff_z,right_shoulder_diff_x,right_shoulder_diff_y,right_shoulder_diff_z,right_elbow_diff_x,right_elbow_diff_y,right_elbow_diff_z,right_wrist_diff_x,right_wrist_diff_y,right_wrist_diff_z,right_hand_diff_x,right_hand_diff_y,right_hand_diff_z,left_hip_diff_x,left_hip_diff_y,left_hip_diff_z,left_knee_diff_x,left_knee_diff_y,left_knee_diff_z,left_ankle_diff_x,left_ankle_diff_y,left_ankle_diff_z,right_hip_diff_x,right_hip_diff_y,right_hip_diff_z,right_knee_diff_x,right_knee_diff_y,right_knee_diff_z,right_ankle_diff_x,right_ankle_diff_y,right_ankle_diff_z
0,7.397190000000194,24.804190000000034,226.77050000000008,5.198770000000138,15.915389999999917,133.8173000000004,0.0,0.0,0.0,3.6988699999999994,3.971189999999922,57.49070000000006,3.9940800000001104,14.048459999999977,99.48819999999978,8.376880000000085,17.544839999999965,96.49650000000042,14.633229999999969,15.34724,80.89609999999948,16.73983999999996,25.67790999999994,91.29300000000035,21.216780000000085,28.468920000000026,95.85540000000037,3.9940800000001104,14.048459999999977,99.48819999999978,10.398339999999962,14.384839999999969,113.06220000000053,8.65322000000009,16.800610000000063,72.88399999999956,24.178139999999843,30.520719999999926,80.81469999999945,29.130039999999894,34.39140999999984,84.5920000000001,9.219679999999983,27.164980000000014,77.86239999999998,9.219679999999983,29.14315999999991,77.86239999999998,9.219679999999983,31.204080000000147,77.86239999999998,6.739849999999819,31.391730000000052,99.80639999999971,6.739849999999819,35.68181000000021,99.80639999999971,6.739849999999819,39.71700000000004,99.80639999999971,-12.692524117647062,-140.8763176470588,-49.81335294117646,-8.63698382352942,-102.62191764705882,-35.9797294117647,0.0,0.0,0.0,0.9220261764705827,69.24249000000002,-43.83156764705883,-6.313301470588241,-75.02049352941175,-26.586088235294113,50.66386852941176,-73.83824088235292,-21.064202941176465,81.03652264705885,6.584725588235305,-8.764402941176472,88.80029088235297,74.49545323529414,-225.04900294117647,90.72440705882354,91.3584288235294,-268.30592941176474,-6.313301470588241,-75.02049352941175,-26.586088235294113,-62.70938970588236,-67.16001117647058,-16.634802941176478,-92.70399352941178,14.716458235294127,-17.78502647058823,-138.97680588235295,71.99244499999999,-244.1788764705882,-150.597173,86.386075,-289.4576676470588,42.038245588235284,69.18155029411766,-58.79394117647057,42.038245588235284,211.06257205882352,-58.79394117647057,42.038245588235284,344.52307999999994,-58.79394117647057,-40.975026470588254,72.12978852941178,-57.808435294117665,-40.975026470588254,213.90586294117654,-57.808435294117665,-40.975026470588254,347.2676738235295,-57.808435294117665
0,5.818939999999998,14.444860000000176,168.06429999999978,2.4671799999997575,2.661409999999904,55.15240000000131,0.0,0.0,0.0,0.8221799999999462,2.209540000000061,16.624799999999823,1.7300599999998099,1.3746999999999332,40.43010000000072,2.0776500000001192,3.589590000000186,44.52870000000007,3.8473300000000563,4.9957200000000626,42.67730000000006,2.35169999999988,31.401749999999993,61.3262000000002,2.6051100000000815,38.87444999999997,66.39870000000064,1.7300599999998099,1.3746999999999332,40.43010000000072,5.429640000000035,4.616549999999847,41.536099999999806,4.1405699999999115,5.117059999999981,31.53340000000003,10.98699999999991,20.916399999999896,51.36999999999966,13.28259999999986,25.872289999999964,57.80809999999974,2.932680000000232,8.202020000000118,37.380699999999024,2.932680000000232,7.630730000000028,37.380699999999024,2.932680000000232,7.74724000000009,37.380699999999024,3.4933999999998093,12.345389999999952,46.29090000000019,3.4933999999998093,12.805040000000133,46.29090000000019,3.4933999999998093,13.616989999999703,46.29090000000019,-9.515977647058818,-131.99903735294117,29.354944117647083,-7.491118235294116,-97.06073647058824,15.703147058823554,0.0,0.0,0.0,0.010370294117649337,66.97840088235296,-62.28213235294114,-5.495954117647055,-71.2274938235294,11.509114705882372,47.343483823529425,-72.54955147058824,12.480108823529417,78.21189088235298,9.850901470588239,-19.613638235294108,80.84656735294118,63.96923000000002,-254.9447235294117,81.50996588235296,77.59699499999999,-302.01094117647057,-5.495954117647055,-71.2274938235294,11.509114705882372,-58.65282235294118,-67.50137147058823,27.49019411764708,-93.27072411764705,14.039236764705887,-15.97257058823529,-125.5790205882353,55.85034735294118,-261.4042323529412,-133.80126382352938,66.49189764705885,-310.4905705882353,39.144985,69.53894176470588,-89.90326470588231,39.144985,208.65256970588234,-89.90326470588231,39.144985,339.50994029411754,-89.90326470588231,-40.57636882352941,69.08123676470589,-99.76079705882353,-40.57636882352941,209.25443911764708,-99.76079705882353,-40.57636882352941,341.1085097058823,-99.76079705882353
0,8.068460000000073,16.325159999999983,257.72339999999986,4.697239999999965,12.54371999999995,140.73919999999998,0.0,0.0,0.0,2.3353800000002707,15.890679999999975,31.10080000000039,3.470740000000035,8.874749999999892,104.20479999999952,3.9093700000001945,7.726150000000246,96.12380000000007,5.632660000000044,10.957730000000026,69.9827000000007,7.951950000000011,29.23600999999985,86.83510000000024,8.593189999999993,33.76753999999988,94.54610000000002,3.470740000000035,8.874749999999892,104.20479999999952,8.642310000000009,9.585510000000056,98.54660000000013,7.148860000000042,10.673409999999876,79.66370000000006,15.664589999999976,24.76918999999981,79.34949999999958,17.959960000000024,29.312320000000057,81.37590000000114,12.945160000000044,17.686169999999947,59.23429999999962,12.945160000000044,18.024520000000223,59.23429999999962,12.945160000000044,20.620910000000265,59.23429999999962,10.914690000000178,20.93448000000012,76.70959999999968,10.914690000000178,23.269099999999924,76.70959999999968,10.914690000000178,25.945419999999956,76.70959999999968,-9.89189735294118,-131.09223323529412,11.835088235294132,-7.818730294117646,-97.65829088235293,7.530070588235283,0.0,0.0,0.0,-0.36464411764706195,63.37826088235294,-60.045864705882344,-5.777669117647061,-72.14657029411767,5.308917647058807,46.97788352941177,-73.05963470588235,6.5810294117647095,77.18604352941175,8.396817941176476,-28.290923529411756,80.64623264705881,65.66097617647058,-262.0870588235294,81.51687882352941,80.06853941176472,-308.84627941176467,-5.777669117647061,-72.14657029411767,5.308917647058807,-59.47278235294117,-67.72339911764705,12.635511764705885,-94.14835000000002,12.938041176470588,-25.036047058823524,-126.38742794117648,57.719461764705876,-270.26949705882345,-134.5996205882353,69.1266205882353,-319.31620882352945,36.33659970588237,66.22776970588232,-88.27414117647061,36.33659970588237,203.3445732352941,-88.27414117647061,36.33659970588237,332.3236141176471,-88.27414117647061,-38.474935882352945,66.0670155882353,-96.92773529411765,-38.474935882352945,204.09037,-96.92773529411765,-38.474935882352945,333.9221779411765,-96.92773529411765
0,8.7218400000001,19.44715999999994,234.98050000000035,5.980340000000012,18.66305000000014,109.62810000000013,0.0,0.0,0.0,4.870439999999974,8.357169999999996,38.92569999999978,4.481260000000134,18.889400000000137,80.25080000000048,5.282220000000052,20.020520000000147,79.39039999999909,9.236119999999914,23.552520000000186,79.40199999999982,6.4058200000000625,35.933700000000044,73.66369999999984,6.315849999999955,41.88523000000015,75.24230000000034,4.481260000000134,18.889400000000137,80.25080000000048,10.192739999999986,21.910970000000134,93.62190000000055,11.580059999999918,28.158600000000206,41.17039999999997,12.796369999999968,24.909570000000087,45.424299999999675,15.12456999999992,25.63412000000011,50.06669999999917,7.219999999999914,29.601189999999917,69.29359999999929,7.219999999999914,32.31801000000013,69.29359999999929,7.219999999999914,35.10978000000006,69.29359999999929,3.9443699999999637,28.194129999999973,65.77119999999991,3.9443699999999637,29.731309999999837,65.77119999999991,3.9443699999999637,31.269540000000177,65.77119999999991,-9.169142647058818,-131.5946102941177,-25.45208235294116,-6.675309999999996,-98.13432176470585,-22.148914705882355,0.0,0.0,0.0,-0.01313117647057993,63.653414705882355,-49.28660294117647,-4.895697647058819,-72.12698941176471,-16.315238235294107,49.570756470588236,-70.20298911764704,-12.814505882352952,78.66090323529411,10.519050588235292,-19.381888235294113,84.29337882352941,70.43079205882351,-238.2645941176471,85.69158617647061,85.29270382352942,-282.0411235294118,-4.895697647058819,-72.12698941176471,-16.315238235294107,-59.692716764705864,-65.09165294117646,-14.441299999999996,-91.45993970588233,16.06639205882353,-33.175570588235296,-129.1748791176471,64.76882235294116,-264.4916941176471,-138.68788764705883,77.05346764705882,-310.7549117647059,38.153708529411766,65.62544294117647,-78.39713529411762,38.153708529411766,202.22977352941174,-78.39713529411762,38.153708529411766,330.7267520588235,-78.39713529411762,-39.89471088235293,68.21573029411765,-80.97889705882353,-39.89471088235293,205.08298735294116,-80.97889705882353,-39.89471088235293,333.8272879411764,-80.97889705882353
0,9.693979999999954,22.216409999999996,209.6663000000001,5.121690000000058,11.856550000000027,113.87290000000007,0.0,0.0,0.0,2.8132199999998875,10.467649999999992,36.35119999999938,3.8041300000001,9.498170000000016,84.7965999999999,4.763780000000224,13.809470000000118,69.80129999999963,45.60851999999994,65.97670999999997,280.9529000000002,54.68957999999992,191.4302300000003,264.8096999999998,70.74095999999992,224.0607200000001,288.580999999999,3.8041300000001,9.498170000000016,84.7965999999999,8.329189999999983,13.374560000000173,92.5791999999999,55.944999999999936,70.22212000000002,99.46300000000019,26.984170000000034,208.87739,218.0087999999996,38.84076999999999,241.8646399999998,263.0770000000002,7.476449999999886,28.96798000000007,82.37030000000073,7.476449999999886,32.26013000000023,82.37030000000073,7.476449999999886,36.29992999999979,82.37030000000073,2.3017300000001626,30.61159000000015,67.79709999999955,2.3017300000001626,32.20929000000024,67.79709999999955,2.3017300000001626,33.7122599999999,67.79709999999955,-7.190939705882357,-137.5276473529412,-1.9954441176470723,-5.014164705882355,-101.00843294117648,-6.897397058823518,0.0,0.0,0.0,-0.42349441176471,60.12666852941175,-54.627882352941164,-3.7355779411764694,-75.27348500000001,-5.196361764705878,49.71713205882351,-74.2375388235294,1.3147382352941444,87.30103411764705,-0.5723244117647087,-38.94465882352944,82.87822999999999,30.202652058823514,-252.55819117647056,81.96380705882349,38.19381676470589,-295.28088235294115,-3.7355779411764694,-75.27348500000001,-5.196361764705878,-57.63613176470589,-70.09207294117648,-5.785549999999991,-99.13856147058826,4.417689999999999,-57.786541176470585,-123.56233764705881,23.790024117647075,-269.0797382352941,-129.87398529411766,29.187687647058823,-311.3383882352941,37.60334705882353,60.433601176470575,-80.90234411764705,37.60334705882353,195.78604029411764,-80.90234411764705,37.60334705882353,323.1054326470588,-80.90234411764705,-40.02270911764706,62.661565882352924,-84.18078823529416,-40.02270911764706,198.3448629411765,-84.18078823529416,-40.02270911764706,325.9754761764706,-84.18078823529416
0,13.416699999999935,13.778340000000156,60.83020000000033,12.803080000000136,13.64391000000009,53.65809999999965,0.0,0.0,0.0,13.379979999999932,11.523480000000063,44.590299999999615,9.67244999999997,13.15328000000008,40.254199999999855,12.131909999999948,15.0615600000001,91.6214,38.43409000000008,103.75345999999999,259.44190000000003,52.61313999999993,96.72980999999993,352.79020000000014,57.12374,100.00315000000003,388.1878999999999,9.67244999999997,13.15328000000008,40.254199999999855,14.562219999999968,18.12431000000001,45.297300000000405,31.634659999999997,93.01042999999999,140.42070000000035,66.40531000000001,62.51938999999993,244.48759999999993,72.7183700000001,60.07997999999998,275.9400999999998,15.599069999999983,13.650809999999979,48.70289999999977,15.599069999999983,14.837170000000015,48.70289999999977,15.599069999999983,16.03700000000015,48.70289999999977,14.37000999999998,15.662879999999973,48.55069999999955,14.37000999999998,19.400170000000003,48.55069999999955,14.37000999999998,22.915570000000002,48.55069999999955,-5.891109705882353,-132.89053647058824,60.07639705882356,-5.909359705882355,-98.71390176470588,33.56427941176474,0.0,0.0,0.0,-2.7292394117647034,60.508018235294095,-73.6862470588235,-4.438011176470587,-74.0848482352941,24.992323529411806,48.461153529411774,-82.15338411764706,29.570885294117677,104.50787764705879,-134.05159352941175,-42.102482352941145,33.96034411764706,-155.449860882353,3.3867882352941745,20.38765705882352,-159.59892352941176,12.484635294117679,-4.438011176470587,-74.0848482352941,24.992323529411806,-57.563057058823524,-75.72733941176472,37.59464411764708,-127.75584117647064,-119.66268205882355,-61.24932941176466,-62.63871911764706,-155.4575570588235,19.519685294117668,-50.52734294117648,-162.2550879411765,35.673494117647074,32.61397264705883,51.26211764705883,-76.67711470588232,32.61397264705883,184.67635735294118,-76.67711470588232,32.61397264705883,310.17259147058815,-76.67711470588232,-37.33802323529412,54.406473529411755,-79.5134470588235,-37.33802323529412,188.10807558823535,-79.5134470588235,-37.33802323529412,313.8746364705882,-79.5134470588235
0,2.70228000000003,9.127990000000068,57.03439999999932,1.0755700000000274,5.528750000000031,26.76720000000023,0.0,0.0,0.0,0.803649999999891,6.61404999999985,23.19849999999974,0.8257600000000025,5.343200000000053,20.266800000001012,4.661130000000014,10.46974000000003,28.01039999999921,32.156830000000014,21.754850000000033,71.71159999999986,33.634029999999996,64.04803000000013,157.9588999999994,65.04572000000007,83.80562,193.74139999999852,0.8257600000000025,5.343200000000053,20.266800000001012,6.03108000000006,8.949739999999935,37.39809999999966,25.667410000000046,19.855839999999944,56.891299999999546,31.351800000000026,59.334859999999935,122.12160000000017,33.98233000000016,69.8017999999999,149.1289999999999,11.212590000000034,12.777840000000083,29.014799999999468,11.212590000000034,14.255930000000035,29.014799999999468,11.212590000000034,15.865559999999846,29.014799999999468,10.829019999999957,14.923690000000079,29.3121000000001,10.829019999999957,16.220070000000078,29.3121000000001,10.829019999999957,17.75281000000018,29.3121000000001,-4.8229332352941165,-133.9569870588235,65.96407647058825,-3.363122647058816,-99.46939205882353,45.98549705882354,0.0,0.0,0.0,-0.7804773529411778,63.66502088235294,-77.34352058823528,-2.53523235294118,-74.99470705882354,34.389347058823525,49.01555764705883,-86.69178470588236,55.253932352941185,86.84449529411766,-157.76617705882356,59.343314705882385,16.421016176470584,-169.1504163235294,89.3540470588235,0.5000149999999955,-171.65071617647064,95.93405588235294,-2.53523235294118,-74.99470705882354,34.389347058823525,-53.79037676470589,-81.33319764705882,51.846388235294114,-100.54574323529413,-150.66952588235293,23.378605882352964,-31.025701176470594,-171.9906394117647,95.08807647058823,-17.91876,-176.0198631176471,109.42995882352935,33.205270588235294,48.79047294117647,-73.68195294117646,33.205270588235294,182.5176076470588,-73.68195294117646,33.205270588235294,308.30816176470597,-73.68195294117646,-34.78905882352941,53.10407441176471,-76.14586764705882,-34.78905882352941,187.08082647058822,-76.14586764705882,-34.78905882352941,313.106182647059,-76.14586764705882
0,0.6857100000000855,9.623990000000049,7.446999999999662,0.8672600000000443,9.203000000000031,7.960999999999331,0.0,0.0,0.0,1.7510300000000711,2.40211000000005,29.131500000000187,0.7394500000000903,8.972750000000076,6.361499999999751,3.230040000000031,11.501199999999983,7.943999999999733,20.517199999999946,21.035880000000077,43.336999999999534,99.32998999999984,46.261639999999886,217.868099999999,121.71131999999983,54.30252999999993,265.8665999999989,0.7394500000000903,8.972750000000076,6.361499999999751,2.5824699999999723,10.397500000000008,7.699499999999944,19.90693999999985,15.143430000000023,41.10680000000025,80.17261999999994,31.57736799999998,105.80009999999993,97.10023999999999,38.78216399999994,133.11030000000005,1.4670600000000036,8.554110000000037,6.70490000000018,211.03344999999996,69.77874999999995,419.0093800000002,211.03344999999996,103.26916999999986,419.0093800000002,2.0307200000000307,8.248670000000061,8.119599999999991,2.0307200000000307,8.867520000000013,8.119599999999991,2.0307200000000307,10.814799999999934,8.119599999999991,-6.241487352941175,-134.40618058823526,41.056320588235266,-4.141758235294119,-98.68603499999999,37.19712352941177,0.0,0.0,0.0,-1.1885252941176447,63.64890352941176,-79.54248529411767,-3.1145647058823545,-74.20494088235294,27.78874705882354,43.58740088235295,-90.14765323529413,44.11003529411765,69.31015411764706,-163.28123205882352,88.38647352941177,57.60517176470588,-230.93990214705877,43.293938235294114,55.39544294117647,-245.07260044117652,34.27541470588232,-3.1145647058823545,-74.20494088235294,27.78874705882354,-49.402820294117646,-85.67588588235296,55.68090294117645,-88.88156470588237,-155.48902705882355,60.859911764705856,-72.08529,-224.79830114705882,49.89912647058824,-68.85677088235292,-238.86103647058823,47.70698235294119,31.435822058823533,45.61800147058822,-71.75372647058826,7.269266470588237,175.8197179411765,-387.1955908823529,7.269266470588237,339.1641173529413,-387.1955908823529,-33.81375088235295,48.2279688235294,-73.28505882352947,-33.81375088235295,180.63379823529408,-73.28505882352947,-33.81375088235295,305.18147500000003,-73.28505882352947
0,4.1347399999998515,14.632049999999992,38.33840000000009,2.076129999999921,10.921949999999981,42.06699999999955,0.0,0.0,0.0,2.337030000000027,11.000330000000133,44.50590000000034,1.5356199999998807,8.709459999999979,31.512500000000045,2.5868699999999194,13.813880000000012,36.38770000000022,24.25051999999988,21.30689000000004,70.5645999999997,105.85915999999997,41.8193099999998,340.4529000000007,129.84959000000003,49.391235999999765,414.54030000000057,1.5356199999998807,8.709459999999979,31.512500000000045,2.1845300000000236,13.445329999999984,43.328799999999774,18.57842999999997,23.894589999999937,61.28210000000013,77.03265000000005,38.017994999999985,170.82830000000126,94.35175000000004,43.01839999999993,204.5223000000003,5.235439999999983,6.924380000000099,25.25839999999971,32.79931999999991,34.08975000000004,64.07784000000015,32.79931999999991,46.87650000000002,64.07784000000015,3.45465999999999,7.849110000000053,24.446300000000974,31.049589999999824,26.97951000000012,294.28660000000104,31.049589999999824,70.1145699999999,294.28660000000104,-8.162495882352937,-126.5876094117647,26.768547058823543,-5.065397058823523,-93.1860838235294,19.955994117647045,0.0,0.0,0.0,-2.0659897058823513,56.73891794117649,-73.3205,-3.806553529411763,-70.05671823529411,14.949188235294093,41.16785411764705,-81.49475999999999,28.825511764705887,71.74304647058825,-149.22406029411763,58.57559117647055,69.12140441176473,-219.8273365882353,18.277085294117636,68.66898794117645,-234.49006399999996,10.21736470588236,-3.806553529411763,-70.05671823529411,14.949188235294093,-48.86517735294117,-77.5791844117647,36.9047588235294,-87.28449294117647,-142.02042617647058,48.611602941176486,-85.88585794117645,-212.6859172941176,9.860720588235287,-85.73497176470585,-227.3330185882353,2.110547058823526,28.427271764705885,46.41786205882353,-82.83468529411768,17.600581470588235,166.45694294117646,-390.664030882353,17.600581470588235,318.123823235294,-390.664030882353,-32.90551117647059,49.49008323529413,-81.91200294117647,-42.81886176470587,177.91045323529409,-184.07104117647063,-42.81886176470587,305.030715882353,-184.07104117647063
0,0.6737400000000662,9.042489999999987,2.570199999999886,0.571510000000103,7.688850000000002,2.9420000000002346,0.0,0.0,0.0,0.8931400000001872,0.9701500000000465,11.632400000000416,0.4862900000001673,6.723089999999928,2.1984999999999673,1.5639000000000465,9.002069999999975,8.799600000000055,27.521820000000105,26.27458999999996,146.0499000000002,72.84350999999964,30.67015599999999,176.5380000000007,87.67607999999973,31.598056000000042,186.40960000000064,0.4862900000001673,6.723089999999928,2.1984999999999673,1.9657599999999888,9.449459999999988,2.2117000000000644,26.810459999999978,24.73799000000008,92.54700000000003,77.35227999999992,37.099021999999934,141.0365999999999,92.17211999999995,40.95590800000008,159.95290000000045,1.812240000000088,7.307689999999923,5.293099999999868,4.6083499999998025,13.340140000000076,24.829699999999548,4.6083499999998025,12.733489999999847,24.829699999999548,2.232639999999833,6.929109999999866,4.651200000000017,5.894989999999922,16.951539999999966,68.89760000000024,5.894989999999922,14.653879999999958,68.89760000000024,-8.747904705882355,-110.93564323529412,5.169235294117658,-6.123774117647066,-80.62099911764706,-1.8526294117646973,0.0,0.0,0.0,-1.4914205882352927,52.89781735294118,-64.88456764705883,-4.52563294117647,-59.587389705882345,-1.3700941176470598,39.134058823529415,-67.59978235294116,4.298205882352945,70.37542558823529,-131.31672705882355,-1.7618852941176262,85.43039647058822,-197.7315224117647,-64.88965294117645,88.62335882352941,-211.7523807058824,-77.51523235294114,-4.52563294117647,-59.587389705882345,-1.3700941176470598,-48.92925735294117,-63.66724323529414,13.099811764705873,-90.67970235294118,-121.66218235294119,-3.225438235294097,-109.47245205882352,-187.4091439117647,-72.39324411764704,-113.47147205882355,-201.35940479411767,-86.22679705882354,26.808517647058814,52.36759558823527,-97.8299882352941,20.863658529411765,156.3112444117647,-377.67609411764704,20.863658529411765,289.3493711764706,-377.67609411764704,-31.645311470588233,54.554529117647064,-97.66587941176468,-56.26872705882353,172.2552547058824,-337.5007852941176,-56.26872705882353,300.4708155882353,-337.5007852941176
